,word,word_en,total
0,chegou antes prazo,arrived before deadline,921
1,bem antes prazo,well-term,589
2,entregue antes prazo,delivered before time,516
3,entrega antes prazo,Delivery before deadline,372
4,produto chegou antes,product has come before,362
5,chegou bem antes,arrived well before,348
6,produto entregue antes,product delivered before,312
7,entrega super rapida,Super fast delivery,290
8,produto otima qualidade,product otima quality,253
9,antes prazo previsto,before expected deadline,229
